,0,1
0,Tie,Tie
1,C9,player 1
2,C8,Player 2
3,D12,Player 2
4,C9,player 1
5,H11,player 1
6,C4,Player 2
7,H11,player 1
8,D10,player 1
9,D11,Player 2
10,S12,player 1
11,H10,Player 2
12,Tie,Tie
13,H6,Player 2
14,D11,Player 2
15,Tie,Tie
16,C13,player 1
17,H11,player 1
18,H7,Player 2
19,H2,Player 2
20,H5,Player 2
21,S4,Player 2
22,C6,player 1
23,D12,Player 2
24,D13,player 1
25,D13,Player 2
26,C13,Player 2
27,H2,Player 2
28,S11,Player 2
29,H7,Player 2
30,D10,player 1
31,S10,player 1
32,H7,Player 2
33,S9,Player 2
34,D12,Player 2
35,H5,Player 2
36,C7,Player 2
37,S11,player 1
38,H5,Player 2
39,C6,player 1
40,C8,player 1
41,H12,player 1
42,S4,player 1
43,D9,player 1
44,S13,Player 2
45,D7,Player 2
46,C5,Player 2
47,S10,player 1
48,H4,Player 2
49,C12,Player 2
50,H13,player 1
51,C8,Player 2
52,C11,Player 2
53,S13,player 1
54,S13,Player 2
55,S11,Player 2
56,D10,player 1
57,S11,player 1
58,Tie,Tie
59,C11,Player 2
60,D10,player 1
61,Tie,Tie
62,H13,Player 2
63,D13,Player 2
64,D13,Player 2
65,S12,player 1
66,H5,Player 2
67,C8,Player 2
68,D4,player 1
69,C12,Player 2
70,C11,player 1
71,S13,Player 2
72,C12,Player 2
73,C11,Player 2
74,S8,player 1
75,D5,player 1
76,H12,Player 2
77,D8,Player 2
78,C8,player 1
79,S9,player 1
80,Tie,Tie
81,C9,player 1
82,D10,player 1
83,S12,Player 2
84,S11,Player 2
85,S7,player 1
86,S9,player 1
87,C12,player 1
88,H7,Player 2
89,C13,player 1
90,C7,player 1
91,D9,player 1
92,D9,Player 2
93,H10,Player 2
94,D8,player 1
95,H9,Player 2
96,C9,player 1
97,D13,Player 2
98,S8,player 1
99,H9,Player 2
100,H11,player 1
101,C10,player 1
102,D7,player 1
103,D7,player 1
104,H7,Player 2
105,H12,player 1
106,C11,player 1
107,S10,Player 2
108,D10,player 1
109,S12,player 1
110,D12,Player 2
111,D8,player 1
112,C8,player 1
113,C12,Player 2
114,H11,player 1
115,D9,Player 2
116,C12,Player 2
117,D12,Player 2
118,H10,Player 2
119,C9,Player 2
120,S10,player 1
121,C9,player 1
122,C8,Player 2
123,H3,player 1
124,S8,Player 2
125,Tie,Tie
126,C11,player 1
127,H7,player 1
128,H10,player 1
129,C12,Player 2
130,S9,Player 2
131,S10,Player 2
132,C12,player 1
133,D6,Player 2
134,S12,player 1
135,S9,Player 2
136,C6,Player 2
137,C9,player 1
138,S8,player 1
139,S6,Player 2
140,H12,player 1
141,Tie,Tie
142,H11,player 1
143,D10,Player 2
144,H8,player 1
145,C3,player 1
146,S10,player 1
147,D10,player 1
148,C5,player 1
149,D11,Player 2
150,H9,player 1
151,H6,Player 2
152,D13,Player 2
153,H10,Player 2
154,C11,Player 2
155,C7,Player 2
156,D12,Player 2
157,C11,player 1
158,S8,player 1
159,H7,player 1
160,H10,player 1
161,S9,player 1
162,D10,player 1
163,H11,player 1
164,C5,Player 2
165,H10,player 1
166,S13,player 1
167,C11,player 1
168,C12,player 1
169,D11,player 1
170,S11,Player 2
171,S7,player 1
172,D13,Player 2
173,D3,Player 2
174,S6,player 1
175,H6,Player 2
176,H8,Player 2
177,C8,Player 2
178,Tie,Tie
179,H13,Player 2
180,S8,player 1
181,S5,Player 2
182,H12,player 1
183,D12,Player 2
184,Tie,Tie
185,H2,player 1
186,D6,player 1
187,D5,player 1
188,S9,Player 2
189,D9,player 1
190,D6,player 1
191,S10,Player 2
192,C10,Player 2
193,D9,Player 2
194,S10,player 1
195,S13,player 1
196,C6,Player 2
197,Tie,Tie
198,S4,player 1
199,D5,Player 2
200,S10,Player 2
201,H5,player 1
202,D9,player 1
203,C4,player 1
204,S8,Player 2
205,S10,Player 2
206,S13,player 1
207,S6,Player 2
208,C9,Player 2
209,H12,player 1
210,S6,player 1
211,D12,player 1
212,D11,player 1
213,H13,Player 2
214,S8,player 1
215,D11,Player 2
216,D3,Player 2
217,D8,Player 2
218,S6,player 1
219,S2,Player 2
220,Tie,Tie
221,S11,Player 2
222,C3,player 1
223,C12,player 1
224,S9,Player 2
225,C12,player 1
226,D4,Player 2
227,C5,Player 2
228,Tie,Tie
229,S13,player 1
230,D13,Player 2
231,S13,player 1
232,D9,player 1
233,C11,player 1
234,S7,player 1
235,C10,player 1
236,H13,Player 2
237,S7,player 1
238,D12,Player 2
239,C4,Player 2
240,H13,Player 2
241,C5,Player 2
242,D10,Player 2
243,D10,Player 2
244,D12,player 1
245,H12,player 1
246,S8,Player 2
247,D13,Player 2
248,C6,Player 2
249,S10,Player 2
250,H7,player 1
251,D9,player 1
252,C11,Player 2
253,C12,player 1
254,H9,player 1
255,D3,player 1
256,S8,Player 2
257,D8,Player 2
258,C12,player 1
259,C12,Player 2
260,Tie,Tie
261,Tie,Tie
262,S10,player 1
263,H4,Player 2
264,H12,player 1
265,C6,Player 2
266,C12,Player 2
267,C13,player 1
268,H13,player 1
269,D10,Player 2
270,H5,player 1
271,H12,player 1
272,D6,Player 2
273,D9,Player 2
274,H12,Player 2
275,S12,player 1
276,H5,player 1
277,H10,Player 2
278,S11,player 1
279,S9,player 1
280,D11,player 1
281,C7,Player 2
282,H12,Player 2
283,C4,player 1
284,Tie,Tie
285,C7,player 1
286,C4,player 1
287,D7,player 1
288,D6,Player 2
289,H11,player 1
290,C7,player 1
291,S11,Player 2
292,S13,player 1
293,S10,player 1
294,H12,Player 2
295,S6,Player 2
296,D10,player 1
297,S13,player 1
298,D6,player 1
299,S7,player 1
300,D11,player 1
301,Tie,Tie
302,S7,player 1
303,C13,Player 2
304,D12,player 1
305,C11,Player 2
306,C7,player 1
307,H11,Player 2
308,D13,Player 2
309,C12,Player 2
310,H11,player 1
311,C11,player 1
312,H4,player 1
313,D11,Player 2
314,Tie,Tie
315,S13,player 1
316,H4,Player 2
317,H12,player 1
318,H9,player 1
319,H5,Player 2
320,D13,player 1
