,0,1
0,C13,player 1
1,S9,Player 2
2,C13,Player 2
3,S9,player 1
4,S5,Player 2
5,Tie,Tie
6,H12,player 1
7,H11,player 1
8,H11,player 1
9,S10,player 1
10,H11,Player 2
11,H11,Player 2
12,H4,player 1
13,D13,Player 2
14,H9,Player 2
15,C12,player 1
16,D12,Player 2
17,C10,Player 2
18,S8,Player 2
19,D12,Player 2
20,H10,player 1
21,S4,player 1
22,D13,player 1
23,S12,Player 2
24,C11,Player 2
25,S13,player 1
26,S6,player 1
27,Tie,Tie
28,C10,Player 2
29,S12,Player 2
30,D8,Player 2
31,C7,player 1
32,S12,Player 2
33,H11,Player 2
34,C11,player 1
35,Tie,Tie
36,C11,Player 2
37,H12,player 1
38,S13,player 1
39,S11,player 1
40,C10,player 1
41,D7,player 1
42,C10,player 1
43,H12,Player 2
44,H5,player 1
45,C8,Player 2
46,D7,player 1
47,C11,player 1
48,H13,Player 2
49,H13,Player 2
50,C7,player 1
51,D2,Player 2
52,S5,player 1
53,H13,Player 2
54,D12,Player 2
55,S4,Player 2
56,S9,Player 2
57,H13,player 1
58,C11,player 1
59,S12,Player 2
60,C7,Player 2
61,S12,Player 2
62,S12,player 1
63,H13,player 1
64,Tie,Tie
65,Tie,Tie
66,D13,Player 2
67,S13,Player 2
68,H13,player 1
69,S6,Player 2
70,S11,Player 2
71,H9,player 1
72,C7,Player 2
73,D11,Player 2
74,D8,player 1
75,D8,player 1
76,D8,Player 2
77,S8,Player 2
78,C9,Player 2
79,C7,player 1
80,C4,player 1
81,C5,Player 2
82,Tie,Tie
83,H6,Player 2
84,H13,player 1
85,D5,player 1
86,H13,Player 2
87,H13,Player 2
88,H11,player 1
89,D5,Player 2
90,H9,Player 2
91,S9,Player 2
92,Tie,Tie
93,C12,Player 2
94,H9,player 1
95,D13,player 1
96,C11,player 1
97,D7,Player 2
98,C12,player 1
99,S6,Player 2
100,Tie,Tie
101,D11,player 1
102,D8,player 1
103,H11,player 1
104,C8,player 1
105,S6,Player 2
106,H5,Player 2
107,C10,player 1
108,H11,player 1
109,S5,Player 2
110,S13,player 1
111,S8,player 1
112,D7,Player 2
113,C11,player 1
114,S13,player 1
115,D11,player 1
116,C6,Player 2
117,H7,Player 2
118,D11,player 1
119,C10,Player 2
120,D10,player 1
121,S11,player 1
122,H6,player 1
123,D11,player 1
124,C9,player 1
125,D11,player 1
126,D9,player 1
127,C10,Player 2
128,C10,Player 2
129,C9,player 1
130,D6,Player 2
131,D13,player 1
132,Tie,Tie
133,D7,Player 2
134,Tie,Tie
135,D4,player 1
136,H9,player 1
137,H9,player 1
138,C8,Player 2
139,S6,Player 2
140,C10,player 1
141,S12,Player 2
142,D13,player 1
143,H12,player 1
144,D6,player 1
145,S13,player 1
146,C9,player 1
147,D13,player 1
148,H6,player 1
149,S9,Player 2
150,S12,player 1
151,H4,player 1
152,C10,Player 2
153,H8,player 1
154,C2,Player 2
155,C11,player 1
156,S12,player 1
157,H8,player 1
158,C11,player 1
159,C9,Player 2
160,C12,Player 2
161,S6,player 1
162,C7,Player 2
163,D13,player 1
164,S6,Player 2
165,H12,player 1
166,H13,Player 2
167,C13,player 1
168,H13,player 1
169,H10,player 1
170,H12,Player 2
171,S8,player 1
172,Tie,Tie
173,H13,player 1
174,D8,Player 2
175,H13,player 1
176,H12,Player 2
177,H7,Player 2
178,C8,Player 2
179,H8,Player 2
180,S12,player 1
181,S6,Player 2
182,C11,player 1
183,S12,Player 2
184,H7,Player 2
185,C12,Player 2
186,D10,Player 2
187,D9,player 1
188,H9,Player 2
189,S10,Player 2
190,D11,Player 2
191,H11,Player 2
192,Tie,Tie
193,S13,player 1
194,S11,player 1
195,D6,player 1
196,S10,player 1
197,C7,Player 2
198,S7,Player 2
199,S9,Player 2
200,C12,player 1
201,D4,Player 2
202,S13,Player 2
203,S12,Player 2
204,D7,player 1
205,C13,player 1
206,H7,Player 2
207,D7,player 1
208,D11,Player 2
209,D9,player 1
210,H10,Player 2
211,S13,player 1
212,H9,player 1
213,C10,Player 2
214,H9,Player 2
215,D8,player 1
216,C8,Player 2
217,D7,Player 2
218,H4,player 1
219,C10,Player 2
220,C10,Player 2
221,H7,player 1
222,H5,player 1
223,Tie,Tie
224,D2,Player 2
225,Tie,Tie
226,C13,Player 2
227,D7,Player 2
228,C13,player 1
229,H10,Player 2
230,C13,player 1
231,C3,Player 2
232,S9,Player 2
233,C11,Player 2
234,H10,Player 2
235,S10,Player 2
236,C6,Player 2
237,S11,Player 2
238,D8,Player 2
239,H11,Player 2
240,C6,Player 2
241,S6,Player 2
242,C9,player 1
243,C11,Player 2
244,H11,player 1
245,H12,player 1
246,C11,Player 2
247,S6,Player 2
248,C7,Player 2
249,H13,player 1
250,C7,player 1
251,S5,player 1
252,C13,player 1
253,S9,player 1
254,C8,player 1
255,S5,player 1
256,S13,player 1
257,D8,player 1
258,S12,Player 2
259,H11,player 1
260,Tie,Tie
261,H6,player 1
262,C7,Player 2
263,D10,player 1
264,H6,Player 2
265,D12,player 1
266,H8,player 1
267,C7,player 1
268,H13,Player 2
269,C8,player 1
270,Tie,Tie
271,S10,Player 2
272,D8,Player 2
273,C5,player 1
274,D9,Player 2
275,H13,Player 2
276,Tie,Tie
277,D9,Player 2
278,H5,Player 2
279,C12,Player 2
280,S13,Player 2
281,H4,Player 2
282,S13,Player 2
283,D11,player 1
284,C11,Player 2
285,H9,Player 2
286,H11,player 1
287,S6,player 1
288,C9,player 1
289,S12,Player 2
290,S5,Player 2
291,D9,Player 2
292,C3,player 1
293,D11,player 1
294,D11,player 1
295,D10,player 1
296,H7,player 1
297,C5,player 1
298,D6,Player 2
299,S5,player 1
300,C9,player 1
301,D13,player 1
302,D9,Player 2
303,H12,player 1
304,C10,player 1
305,H7,player 1
306,H11,Player 2
307,S13,Player 2
308,C13,Player 2
309,C9,player 1
310,C7,player 1
311,S10,player 1
312,D10,player 1
313,S12,Player 2
314,D12,Player 2
315,D5,player 1
316,D13,player 1
317,C9,player 1
318,H11,player 1
319,H6,player 1
320,H10,player 1
321,C6,Player 2
322,D9,player 1
323,C9,Player 2
324,Tie,Tie
325,H8,Player 2
326,D12,player 1
327,C13,player 1
328,S13,player 1
329,C11,player 1
330,C10,player 1
331,C11,Player 2
332,S8,Player 2
333,S10,player 1
334,S4,Player 2
335,S10,player 1
336,H6,Player 2
337,C8,Player 2
338,D13,Player 2
339,H10,Player 2
340,S10,player 1
341,D10,player 1
342,C7,Player 2
343,C11,Player 2
344,C3,player 1
345,C9,player 1
346,S12,player 1
347,H12,player 1
348,S5,player 1
349,D9,player 1
350,H9,Player 2
351,D9,Player 2
352,H13,Player 2
353,S9,Player 2
354,H12,player 1
355,D8,Player 2
356,D8,Player 2
357,H12,Player 2
358,D7,Player 2
359,H7,Player 2
360,S13,Player 2
361,H12,Player 2
362,S11,Player 2
363,C11,Player 2
364,H11,Player 2
365,C11,Player 2
366,D7,Player 2
367,H9,Player 2
368,D10,Player 2
369,H11,player 1
370,C13,Player 2
371,D7,Player 2
372,S13,player 1
373,H12,Player 2
374,H12,player 1
375,H9,Player 2
376,S13,Player 2
377,S4,player 1
378,S7,player 1
379,C6,Player 2
380,C5,Player 2
381,C10,Player 2
382,C11,player 1
383,S12,player 1
384,Tie,Tie
385,S8,player 1
386,C10,Player 2
387,H10,player 1
388,D11,Player 2
389,S6,Player 2
390,Tie,Tie
391,D8,player 1
392,S11,Player 2
393,H13,Player 2
394,S7,player 1
395,S10,player 1
396,S11,player 1
397,S8,player 1
398,C6,player 1
399,S4,Player 2
400,D13,Player 2
401,C10,Player 2
402,D13,player 1
403,C8,Player 2
404,D13,player 1
405,C11,Player 2
406,H11,Player 2
407,C9,Player 2
408,D12,Player 2
409,Tie,Tie
410,H11,player 1
411,H12,player 1
412,H7,player 1
413,C6,Player 2
414,C12,player 1
415,H8,player 1
416,H13,Player 2
417,C13,Player 2
418,S11,player 1
419,S5,player 1
420,Tie,Tie
421,H11,player 1
422,D4,Player 2
423,D4,player 1
424,S12,player 1
425,H12,player 1
426,C4,player 1
427,H8,Player 2
428,Tie,Tie
429,C11,Player 2
430,S13,Player 2
431,C7,Player 2
432,C11,player 1
433,D8,player 1
434,C11,Player 2
435,D12,player 1
436,H8,player 1
437,Tie,Tie
438,H12,Player 2
439,S11,player 1
440,D9,player 1
441,C13,Player 2
442,D11,player 1
443,C4,Player 2
444,S10,Player 2
445,H12,Player 2
446,H6,player 1
447,C11,Player 2
448,D3,player 1
449,D12,Player 2
450,C3,player 1
451,C9,Player 2
452,S6,player 1
453,D9,player 1
454,S8,player 1
455,C8,player 1
456,H13,player 1
457,S5,Player 2
458,D11,player 1
459,D12,Player 2
460,S13,Player 2
461,H13,player 1
462,D13,Player 2
463,H11,player 1
464,C7,player 1
465,C13,player 1
466,D13,player 1
467,S7,player 1
468,C8,Player 2
469,H8,player 1
470,S12,player 1
471,D7,player 1
472,Tie,Tie
473,D4,player 1
474,C5,Player 2
475,H9,Player 2
476,C12,player 1
477,D2,Player 2
478,H11,Player 2
479,H11,Player 2
480,S9,Player 2
481,C10,player 1
482,S6,player 1
483,Tie,Tie
484,H9,player 1
485,S10,player 1
486,C10,Player 2
487,Tie,Tie
488,S13,Player 2
489,H8,player 1
490,D11,Player 2
491,D12,player 1
492,H9,player 1
493,H7,player 1
494,C10,Player 2
495,D11,player 1
496,D10,Player 2
497,C5,Player 2
498,D9,player 1
499,H8,player 1
500,S6,player 1
501,S9,Player 2
502,D13,player 1
503,H8,player 1
504,S13,Player 2
505,D8,player 1
506,H9,player 1
507,C11,Player 2
508,C13,Player 2
509,Tie,Tie
510,D9,player 1
511,H6,Player 2
512,S10,Player 2
513,D12,player 1
514,S8,Player 2
515,S11,player 1
516,H8,Player 2
517,D7,Player 2
518,C8,player 1
519,S12,Player 2
520,S11,player 1
521,H8,Player 2
522,S13,player 1
523,D10,Player 2
524,D9,Player 2
525,Tie,Tie
526,S11,player 1
527,S11,Player 2
528,S9,Player 2
529,D12,player 1
530,D7,Player 2
531,C5,Player 2
532,C12,Player 2
533,H8,Player 2
534,C12,Player 2
535,C7,Player 2
536,S5,player 1
537,D10,player 1
538,H2,Player 2
539,D11,Player 2
540,H13,Player 2
541,S13,player 1
542,S9,Player 2
543,S10,Player 2
544,Tie,Tie
545,H9,player 1
546,C13,Player 2
547,Tie,Tie
548,H8,Player 2
549,C10,Player 2
550,D12,Player 2
551,C11,player 1
552,S8,Player 2
553,C12,player 1
554,H13,player 1
555,D13,player 1
556,H11,Player 2
557,S10,player 1
558,D13,player 1
559,D11,player 1
560,H13,Player 2
561,Tie,Tie
562,C4,Player 2
563,S12,Player 2
564,D12,player 1
565,D10,player 1
566,S13,player 1
567,S11,Player 2
568,S5,player 1
569,C12,Player 2
570,H6,Player 2
571,D3,player 1
572,H6,Player 2
573,D11,Player 2
574,D5,player 1
575,S11,Player 2
576,D10,player 1
577,C7,player 1
578,D8,player 1
579,S5,Player 2
580,C9,player 1
581,D6,Player 2
582,D7,player 1
583,D6,Player 2
584,Tie,Tie
585,S13,Player 2
586,S5,player 1
587,D5,player 1
588,C9,player 1
589,D9,player 1
590,D12,Player 2
591,D12,player 1
592,S8,Player 2
593,C6,Player 2
594,S2,player 1
595,C9,player 1
596,D11,player 1
597,S10,Player 2
598,D9,player 1
599,D10,player 1
600,Tie,Tie
601,C8,player 1
602,C9,Player 2
603,C11,player 1
604,D12,Player 2
605,D7,player 1
606,S8,Player 2
607,D9,Player 2
608,H9,Player 2
609,C13,player 1
610,Tie,Tie
611,D13,Player 2
612,C12,player 1
613,S9,Player 2
614,H13,player 1
615,S8,Player 2
616,S9,player 1
617,S10,Player 2
618,C11,Player 2
619,D13,Player 2
620,S9,Player 2
621,D8,player 1
622,C12,player 1
623,H12,player 1
624,D11,Player 2
625,S11,player 1
626,D7,Player 2
627,C9,player 1
628,D10,Player 2
629,H9,Player 2
630,C12,Player 2
631,D13,player 1
632,C7,player 1
633,S13,player 1
634,H12,player 1
635,H9,player 1
636,D11,player 1
637,Tie,Tie
638,S12,player 1
639,Tie,Tie
640,H8,Player 2
641,C12,Player 2
642,Tie,Tie
643,S8,player 1
644,S11,player 1
645,S5,player 1
646,H7,Player 2
647,D12,Player 2
648,H5,player 1
649,C7,player 1
650,H12,player 1
651,D6,Player 2
652,D5,Player 2
653,S11,player 1
654,D8,player 1
655,H8,player 1
656,H8,player 1
657,S4,player 1
658,D13,Player 2
659,C9,Player 2
660,S11,player 1
661,C8,player 1
662,D9,player 1
663,D11,player 1
664,S9,Player 2
665,H11,player 1
666,H6,player 1
667,C13,player 1
668,H11,Player 2
669,H4,Player 2
670,H13,Player 2
671,S9,Player 2
672,D8,Player 2
673,H11,Player 2
674,C9,Player 2
675,S12,Player 2
676,S11,player 1
677,S10,player 1
678,H5,Player 2
679,D2,Player 2
680,C6,Player 2
681,H12,player 1
682,D8,Player 2
683,C10,player 1
684,D9,player 1
685,S9,player 1
686,C9,player 1
687,H8,player 1
688,H7,player 1
689,H6,Player 2
690,C12,Player 2
691,H3,player 1
692,S6,Player 2
693,S8,Player 2
694,C10,player 1
695,Tie,Tie
696,H10,player 1
697,C7,Player 2
698,H3,Player 2
699,H9,player 1
700,D4,player 1
701,S13,player 1
702,H11,player 1
703,D7,player 1
704,H13,Player 2
705,C11,player 1
706,C9,player 1
707,C13,player 1
708,D11,Player 2
709,H10,Player 2
710,C8,player 1
